State,County,Teen births,Sexually transmitted infections
MS,Adams County,69.9,901.2
MS,Adams County,66.3,853.0
MS,Alcorn County,71.7,313.1
MS,Alcorn County,70.9,433.2
MS,Amite County,61.9,329.1
MS,Amite County,62.0,409.0
MS,Attala County,73.4,775.7
MS,Attala County,70.8,882.2
MS,Benton County,68.1,400.8
MS,Benton County,62.1,286.4
MS,Bolivar County,78.0,1237.7
MS,Bolivar County,77.7,1486.6
MS,Calhoun County,65.5,529.6
MS,Calhoun County,60.3,801.7
MS,Carroll County,44.6,472.4
MS,Carroll County,46.6,556.5
MS,Chickasaw County,93.0,946.0
MS,Chickasaw County,89.7,1142.6
MS,Choctaw County,50.7,523.1
MS,Choctaw County,53.0,299.5
MS,Claiborne County,54.0,1356.3
MS,Claiborne County,54.6,1775.6
MS,Clarke County,54.1,692.8
MS,Clarke County,53.1,755.0
MS,Clay County,56.9,635.5
MS,Clay County,55.1,572.8
MS,Coahoma County,91.6,1671.0
MS,Coahoma County,91.5,1987.6
MS,Copiah County,65.3,1029.2
MS,Copiah County,62.9,963.6
MS,Covington County,73.3,687.8
MS,Covington County,73.7,663.0
MS,DeSoto County,41.3,
MS,DeSoto County,39.4,542.0
MS,Forrest County,54.2,1024.5
MS,Forrest County,52.2,1069.0
MS,Franklin County,57.9,586.3
MS,Franklin County,61.9,644.1
MS,George County,90.1,270.9
MS,George County,88.2,466.6
MS,Greene County,60.3,286.0
MS,Greene County,56.8,363.4
MS,Grenada County,68.7,972.1
MS,Grenada County,66.3,821.0
MS,Hancock County,51.2,311.3
MS,Hancock County,47.9,384.5
MS,Harrison County,59.7,579.5
MS,Harrison County,59.2,733.4
MS,Hinds County,58.3,1185.0
MS,Hinds County,54.8,1237.9
MS,Holmes County,85.8,1450.7
MS,Holmes County,80.8,1622.7
MS,Humphreys County,111.9,1460.5
MS,Humphreys County,110.9,1686.8
MS,Issaquena County,72.3,649.4
MS,Itawamba County,45.1,518.6
MS,Itawamba County,47.1,488.4
MS,Jackson County,55.0,419.6
MS,Jackson County,53.7,461.9
MS,Jasper County,66.0,917.9
